,Date,Open,High,Low,Close,Volume,Volume MA,Daily_Returns
7091,1524618000,1.22294,1.2231,1.22204,1.22214,4139,7351.55,-0.0009809210848987782
7092,1524628800,1.22234,1.22239,1.22154,1.22172,2004,5962.45,-0.00034365948254710954
7093,1524636000,1.2214,1.2218,1.22056,1.22139,10032,5858.35,-0.00027011099106177827
7094,1524639600,1.22139,1.2214,1.21878,1.21882,10797,6014.15,-0.0021041600144098282
7095,1524643200,1.21882,1.2204,1.21865,1.22028,10125,5983.95,0.001197879916640776
7096,1524646800,1.22028,1.22154,1.22002,1.22056,6492,5491.95,0.00022945553479525316
7097,1524650400,1.22056,1.22122,1.21983,1.22024,7205,5139.95,-0.0002621747394638829
7098,1524654000,1.22024,1.22052,1.21749,1.21772,12476,5253.5,-0.002065167508031318
7099,1524657600,1.21772,1.21896,1.21704,1.21836,13812,5494.25,0.0005255723811714574
7100,1524661200,1.21836,1.22,1.21805,1.21881,12839,5761.5,0.0003693489608980194
7101,1524664800,1.21881,1.2192,1.2168,1.21718,13441,6086.7,-0.0013373700576791991
7102,1524668400,1.21718,1.219,1.21714,1.21764,11215,6447.9,0.0003779227394469231
7103,1524672000,1.21764,1.21877,1.21697,1.21849,7745,6764.55,0.0006980716796425313
7104,1524679200,1.21764,1.21804,1.21728,1.21752,4486,7211.05,-0.0007960672635803911
7105,1524686400,1.21714,1.21734,1.216,1.216,2394,7336.4,-0.0012484394506866447
7106,1524700800,1.21705,1.21777,1.2163,1.21729,4798,7281.15,0.0010608552631579116
7107,1524708000,1.2175,1.21778,1.21711,1.21718,2202,6937.25,-9.036466248801833e-05
7108,1524718800,1.21757,1.21815,1.21737,1.21784,2621,5915.35,0.0005422369739891408
7109,1524722400,1.21784,1.21886,1.2173,1.2179,10689,6089.55,4.926755567224994e-05
7110,1524726000,1.2179,1.21876,1.21588,1.21658,14961,6213.8,-0.0010838328269973108
7111,1524729600,1.21658,1.21798,1.21562,1.21712,10582,6052.3,0.00044386723437828124
7112,1524733200,1.21712,1.21865,1.21686,1.21782,8837,5852.2,0.0005751281714210243
7113,1524736800,1.21782,1.2188,1.21716,1.21832,7766,5568.45,0.0004105697065248659
7114,1524740400,1.21832,1.21878,1.21534,1.21576,12121,5613.75,-0.002101254186092416
7115,1524744000,1.21576,1.221,1.21449,1.21998,35187,6985.85,0.0034710798183852365
7116,1524747600,1.21998,1.22043,1.21713,1.21736,19161,7673.4,-0.002147576189773681
7117,1524751200,1.21736,1.21741,1.21066,1.21152,27507,8824.45,-0.004797266215416984
7118,1524754800,1.21152,1.21204,1.20979,1.21132,13086,9246.9,-0.00016508188061281626
7119,1524758400,1.21132,1.21292,1.21092,1.21257,8729,9563.65,0.0010319321071228238
7120,1524765600,1.21143,1.2116,1.20998,1.21058,5202,9930.9,-0.001641142367038606
7121,1524776400,1.21036,1.21091,1.21034,1.21046,1289,9740.35,-9.912603875816828e-05
7122,1524790800,1.21077,1.21102,1.20968,1.21091,3407,9653.25,0.00037175949638967865
7123,1524805200,1.21114,1.21126,1.21044,1.21068,2083,7757.55,-0.00018993979734249766
7124,1524808800,1.21068,1.21111,1.20838,1.20878,11273,7932.9,-0.0015693659761456535
7125,1524812400,1.20878,1.20904,1.20648,1.2076,12398,7946.75,-0.0009761908701334532
7126,1524816000,1.2076,1.2085,1.2065,1.20719,12197,6797.25,-0.0003395163961577019
7127,1524819600,1.20719,1.20876,1.20714,1.20827,9549,6316.65,0.0008946396176243709
7128,1524823200,1.20827,1.20955,1.20718,1.20876,9982,5440.4,0.00040553849719038304
7129,1524826800,1.20876,1.20894,1.20656,1.20664,9204,5246.3,-0.00175386346338402
7130,1524830400,1.20664,1.20884,1.20552,1.20843,15818,5600.75,0.0014834581979712436
7131,1524834000,1.20843,1.20948,1.20777,1.20826,12268,5972.7,-0.00014067840090037365
7132,1524837600,1.20826,1.21182,1.20737,1.21008,14677,6446.45,0.001506298313276977
7133,1524841200,1.21008,1.21132,1.20967,1.21077,9964,6741.35,0.0005702102340339188
7134,1524844800,1.21077,1.21156,1.2102,1.21112,6403,6980.65,0.00028907224328333925
7135,1524852000,1.21056,1.21232,1.21035,1.21218,5072,7369.8,0.0008752229341435491
